taxlevel	rankID	taxon	daughterlevels	total	Lakeview1	Lakeview2	Lakeview3	Lakeview4	Lakeview5	Lakeview6	Lakeview7	Lakeview8
0	0	Root	3	326081	37614	34655	37521	56026	43530	38255	40629	37851
1	0.1	Archaea	6	133	73	40	5	4	0	1	4	6
2	0.1.1	Altiarchaeota	1	1	1	0	0	0	0	0	0	0
3	0.1.1.1	Altiarchaeia	1	1	1	0	0	0	0	0	0	0
4	0.1.1.1.1	Altiarchaeia_or	1	1	1	0	0	0	0	0	0	0
5	0.1.1.1.1.1	Altiarchaeia_fa	1	1	1	0	0	0	0	0	0	0
6	0.1.1.1.1.1.1	Altiarchaeia_ge	0	1	1	0	0	0	0	0	0	0
2	0.1.2	Archaea_unclassified	1	10	5	5	0	0	0	0	0	0
3	0.1.2.1	Archaea_unclassified	1	10	5	5	0	0	0	0	0	0
4	0.1.2.1.1	Archaea_unclassified	1	10	5	5	0	0	0	0	0	0
5	0.1.2.1.1.1	Archaea_unclassified	1	10	5	5	0	0	0	0	0	0
6	0.1.2.1.1.1.1	Archaea_unclassified	0	10	5	5	0	0	0	0	0	0
2	0.1.3	Asgardaeota	1	1	1	0	0	0	0	0	0	0
3	0.1.3.1	Odinarchaeia	1	1	1	0	0	0	0	0	0	0
4	0.1.3.1.1	Odinarchaeia_or	1	1	1	0	0	0	0	0	0	0
5	0.1.3.1.1.1	Odinarchaeia_fa	1	1	1	0	0	0	0	0	0	0
6	0.1.3.1.1.1.1	Odinarchaeia_ge	0	1	1	0	0	0	0	0	0	0
2	0.1.4	Crenarchaeota	2	17	15	2	0	0	0	0	0	0
3	0.1.4.1	Bathyarchaeia	1	13	11	2	0	0	0	0	0	0
4	0.1.4.1.1	Bathyarchaeia_or	1	13	11	2	0	0	0	0	0	0
5	0.1.4.1.1.1	Bathyarchaeia_fa	1	13	11	2	0	0	0	0	0	0
6	0.1.4.1.1.1.1	Bathyarchaeia_ge	0	13	11	2	0	0	0	0	0	0
3	0.1.4.2	Crenarchaeota_unclassified	1	4	4	0	0	0	0	0	0	0
4	0.1.4.2.1	Crenarchaeota_unclassified	1	4	4	0	0	0	0	0	0	0
5	0.1.4.2.1.1	Crenarchaeota_unclassified	1	4	4	0	0	0	0	0	0	0
6	0.1.4.2.1.1.1	Crenarchaeota_unclassified	0	4	4	0	0	0	0	0	0	0
2	0.1.5	Euryarchaeota	3	46	27	16	0	0	0	0	0	3
3	0.1.5.1	Methanobacteria	1	1	0	1	0	0	0	0	0	0
4	0.1.5.1.1	Methanobacteriales	1	1	0	1	0	0	0	0	0	0
5	0.1.5.1.1.1	Methanobacteriaceae	1	1	0	1	0	0	0	0	0	0
6	0.1.5.1.1.1.1	Methanobacteriaceae_unclassified	0	1	0	1	0	0	0	0	0	0
3	0.1.5.2	Methanomicrobia	2	34	17	14	0	0	0	0	0	3
4	0.1.5.2.1	Methanomicrobiales	2	30	15	12	0	0	0	0	0	3
5	0.1.5.2.1.1	Methanomicrobiales_unclassified	1	4	2	1	0	0	0	0	0	1
6	0.1.5.2.1.1.1	Methanomicrobiales_unclassified	0	4	2	1	0	0	0	0	0	1
5	0.1.5.2.1.2	Methanoregulaceae	2	26	13	11	0	0	0	0	0	2
6	0.1.5.2.1.2.1	Methanolinea	0	13	8	4	0	0	0	0	0	1
6	0.1.5.2.1.2.2	Methanoregula	0	13	5	7	0	0	0	0	0	1
4	0.1.5.2.2	Methanosarcinales	1	4	2	2	0	0	0	0	0	0
5	0.1.5.2.2.1	Methanosaetaceae	1	4	2	2	0	0	0	0	0	0
6	0.1.5.2.2.1.1	Methanosaeta	0	4	2	2	0	0	0	0	0	0
3	0.1.5.3	Thermoplasmata	2	11	10	1	0	0	0	0	0	0
4	0.1.5.3.1	Marine_Benthic_Group_D_and_DHVEG-1	1	7	6	1	0	0	0	0	0	0
5	0.1.5.3.1.1	Marine_Benthic_Group_D_and_DHVEG-1_fa	1	7	6	1	0	0	0	0	0	0
6	0.1.5.3.1.1.1	Marine_Benthic_Group_D_and_DHVEG-1_ge	0	7	6	1	0	0	0	0	0	0
4	0.1.5.3.2	Methanomassiliicoccales	1	4	4	0	0	0	0	0	0	0
5	0.1.5.3.2.1	Methanomassiliicoccaceae	1	4	4	0	0	0	0	0	0	0
6	0.1.5.3.2.1.1	uncultured	0	4	4	0	0	0	0	0	0	0
2	0.1.6	Nanoarchaeaeota	1	58	24	17	5	4	0	1	4	3
3	0.1.6.1	Woesearchaeia	1	58	24	17	5	4	0	1	4	3
4	0.1.6.1.1	Woesearchaeia_or	1	58	24	17	5	4	0	1	4	3
5	0.1.6.1.1.1	Woesearchaeia_fa	1	58	24	17	5	4	0	1	4	3
6	0.1.6.1.1.1.1	Woesearchaeia_ge	0	58	24	17	5	4	0	1	4	3
1	0.2	Bacteria	40	325945	37538	34615	37516	56022	43530	38254	40625	37845
2	0.2.1	Acidobacteria	10	1000	22	42	123	184	144	196	147	142
3	0.2.1.1	Acidobacteriia	3	784	6	29	97	139	115	153	124	121
4	0.2.1.1.1	Acidobacteriales	1	1	0	0	0	0	0	0	1	0
5	0.2.1.1.1.1	Acidobacteriaceae_(Subgroup_1)	1	1	0	0	0	0	0	0	1	0
6	0.2.1.1.1.1.1	Terriglobus	0	1	0	0	0	0	0	0	1	0
4	0.2.1.1.2	Solibacterales	1	780	6	29	97	137	115	152	123	121
5	0.2.1.1.2.1	Solibacteraceae_(Subgroup_3)	3	780	6	29	97	137	115	152	123	121
6	0.2.1.1.2.1.1	Bryobacter	0	15	1	1	0	5	2	1	3	2
6	0.2.1.1.2.1.2	Paludibaculum	0	716	5	28	94	124	106	137	111	111
6	0.2.1.1.2.1.3	Solibacteraceae_(Subgroup_3)_unclassified	0	49	0	0	3	8	7	14	9	8
4	0.2.1.1.3	Subgroup_2	1	3	0	0	0	2	0	1	0	0
5	0.2.1.1.3.1	Subgroup_2_fa	1	3	0	0	0	2	0	1	0	0
6	0.2.1.1.3.1.1	Subgroup_2_ge	0	3	0	0	0	2	0	1	0	0
3	0.2.1.2	Aminicenantia	1	2	1	1	0	0	0	0	0	0
4	0.2.1.2.1	Aminicenantales	1	2	1	1	0	0	0	0	0	0
5	0.2.1.2.1.1	Aminicenantales_fa	1	2	1	1	0	0	0	0	0	0
6	0.2.1.2.1.1.1	Aminicenantales_ge	0	2	1	1	0	0	0	0	0	0
3	0.2.1.3	Blastocatellia_(Subgroup_4)	2	177	5	6	24	43	21	40	19	19
4	0.2.1.3.1	11-24	1	173	1	6	24	43	21	40	19	19
5	0.2.1.3.1.1	11-24_fa	1	173	1	6	24	43	21	40	19	19
6	0.2.1.3.1.1.1	11-24_ge	0	173	1	6	24	43	21	40	19	19
4	0.2.1.3.2	Blastocatellales	1	4	4	0	0	0	0	0	0	0
5	0.2.1.3.2.1	Blastocatellaceae	2	4	4	0	0	0	0	0	0	0
6	0.2.1.3.2.1.1	Blastocatellaceae_unclassified	0	1	1	0	0	0	0	0	0	0
6	0.2.1.3.2.1.2	JGI_0001001-H03	0	3	3	0	0	0	0	0	0	0
3	0.2.1.4	Holophagae	2	6	2	1	0	0	3	0	0	0
4	0.2.1.4.1	Holophagales	1	4	1	0	0	0	3	0	0	0
5	0.2.1.4.1.1	Holophagaceae	2	4	1	0	0	0	3	0	0	0
6	0.2.1.4.1.1.1	Holophaga	0	1	1	0	0	0	0	0	0	0
6	0.2.1.4.1.1.2	Holophagaceae_unclassified	0	3	0	0	0	0	3	0	0	0
4	0.2.1.4.2	Subgroup_7	1	2	1	1	0	0	0	0	0	0
5	0.2.1.4.2.1	Subgroup_7_fa	1	2	1	1	0	0	0	0	0	0
6	0.2.1.4.2.1.1	Subgroup_7_ge	0	2	1	1	0	0	0	0	0	0
3	0.2.1.5	Subgroup_17	1	1	0	0	0	1	0	0	0	0
4	0.2.1.5.1	Subgroup_17_or	1	1	0	0	0	1	0	0	0	0
5	0.2.1.5.1.1	Subgroup_17_fa	1	1	0	0	0	1	0	0	0	0
6	0.2.1.5.1.1.1	Subgroup_17_ge	0	1	0	0	0	1	0	0	0	0
3	0.2.1.6	Subgroup_18	1	4	2	1	0	0	1	0	0	0
4	0.2.1.6.1	Subgroup_18_or	1	4	2	1	0	0	1	0	0	0
5	0.2.1.6.1.1	Subgroup_18_fa	1	4	2	1	0	0	1	0	0	0
6	0.2.1.6.1.1.1	Subgroup_18_ge	0	4	2	1	0	0	1	0	0	0
3	0.2.1.7	Subgroup_21	1	1	1	0	0	0	0	0	0	0
4	0.2.1.7.1	Subgroup_21_or	1	1	1	0	0	0	0	0	0	0
5	0.2.1.7.1.1	Subgroup_21_fa	1	1	1	0	0	0	0	0	0	0
6	0.2.1.7.1.1.1	Subgroup_21_ge	0	1	1	0	0	0	0	0	0	0
3	0.2.1.8	Subgroup_6	3	22	4	3	2	1	4	2	4	2
4	0.2.1.8.1	Subgroup_6_or	1	16	4	0	2	1	4	2	2	1
5	0.2.1.8.1.1	Subgroup_6_fa	1	16	4	0	2	1	4	2	2	1
6	0.2.1.8.1.1.1	Subgroup_6_ge	0	16	4	0	2	1	4	2	2	1
4	0.2.1.8.2	Subgroup_6_unclassified	1	3	0	2	0	0	0	0	1	0
5	0.2.1.8.2.1	Subgroup_6_unclassified	1	3	0	2	0	0	0	0	1	0
6	0.2.1.8.2.1.1	Subgroup_6_unclassified	0	3	0	2	0	0	0	0	1	0
4	0.2.1.8.3	Unknown_Order	1	3	0	1	0	0	0	0	1	1
5	0.2.1.8.3.1	Unknown_Family	2	3	0	1	0	0	0	0	1	1
6	0.2.1.8.3.1.1	Luteitalea	0	2	0	0	0	0	0	0	1	1
6	0.2.1.8.3.1.2	Unknown_Family_unclassified	0	1	0	1	0	0	0	0	0	0
3	0.2.1.9	Thermoanaerobaculia	1	2	1	1	0	0	0	0	0	0
4	0.2.1.9.1	Thermoanaerobaculales	1	2	1	1	0	0	0	0	0	0
5	0.2.1.9.1.1	Thermoanaerobaculaceae	1	2	1	1	0	0	0	0	0	0
6	0.2.1.9.1.1.1	Thermoanaerobaculum	0	2	1	1	0	0	0	0	0	0
3	0.2.1.10	c5LKS83	1	1	0	0	0	0	0	1	0	0
4	0.2.1.10.1	c5LKS83_or	1	1	0	0	0	0	0	1	0	0
5	0.2.1.10.1.1	c5LKS83_fa	1	1	0	0	0	0	0	1	0	0
6	0.2.1.10.1.1.1	c5LKS83_ge	0	1	0	0	0	0	0	1	0	0
2	0.2.2	Actinobacteria	6	70713	7576	7672	8457	12637	10565	7852	8355	7599
3	0.2.2.1	Acidimicrobiia	3	17463	1333	1638	2480	2739	2653	2220	2358	2042
4	0.2.2.1.1	Actinomarinales	1	2	0	1	0	0	0	1	0	0
5	0.2.2.1.1.1	uncultured	1	2	0	1	0	0	0	1	0	0
6	0.2.2.1.1.1.1	uncultured_ge	0	2	0	1	0	0	0	1	0	0
4	0.2.2.1.2	IMCC26256	1	15	0	1	3	2	3	3	0	3
5	0.2.2.1.2.1	IMCC26256_fa	1	15	0	1	3	2	3	3	0	3
6	0.2.2.1.2.1.1	IMCC26256_ge	0	15	0	1	3	2	3	3	0	3
4	0.2.2.1.3	Microtrichales	5	17446	1333	1636	2477	2737	2650	2216	2358	2039
5	0.2.2.1.3.1	Iamiaceae	1	1	0	0	0	0	0	1	0	0
6	0.2.2.1.3.1.1	Iamia	0	1	0	0	0	0	0	1	0	0
5	0.2.2.1.3.2	Ilumatobacteraceae	4	17370	1329	1630	2470	2730	2639	2204	2345	2023
6	0.2.2.1.3.2.1	CL500-29_marine_group	0	16903	1312	1600	2403	2668	2550	2131	2263	1976
6	0.2.2.1.3.2.2	Ilumatobacter	0	5	0	2	0	0	0	1	1	1
6	0.2.2.1.3.2.3	Ilumatobacteraceae_unclassified	0	460	17	28	67	61	89	72	81	45
6	0.2.2.1.3.2.4	uncultured	0	2	0	0	0	1	0	0	0	1
5	0.2.2.1.3.3	Microtrichaceae	1	36	0	4	3	2	6	6	7	8
6	0.2.2.1.3.3.1	IMCC26207	0	36	0	4	3	2	6	6	7	8
5	0.2.2.1.3.4	Microtrichales_unclassified	1	27	0	1	3	3	4	5	6	5
6	0.2.2.1.3.4.1	Microtrichales_unclassified	0	27	0	1	3	3	4	5	6	5
5	0.2.2.1.3.5	uncultured	1	12	4	1	1	2	1	0	0	3
6	0.2.2.1.3.5.1	uncultured_ge	0	12	4	1	1	2	1	0	0	3
3	0.2.2.2	Actinobacteria	7	52780	6227	5994	5899	9827	7823	5578	5932	5500
4	0.2.2.2.1	Actinobacteria_unclassified	1	32	11	11	0	5	1	3	1	0
5	0.2.2.2.1.1	Actinobacteria_unclassified	1	32	11	11	0	5	1	3	1	0
